Location,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,Total,Year
United States,76080400,28950400,37990300,82829900,40508000,46418900,312777900,2015
Alabama,1150500,424900,544800,1232300,631600,746000,4730100,2015
Alaska,191500,78800,96300,177800,92400,70800,707500,2015
Arizona,1672500,631300,779700,1661800,804400,1105300,6655100,2015
Arkansas,721000,259900,334700,738300,369900,458600,2882300,2015
California,9438000,3816900,5070900,10311100,4590600,5097700,38325100,2015
Colorado,1301000,496000,723500,1421700,678500,694700,5315400,2015
Connecticut,794900,304000,376100,966000,493400,543700,3478100,2015
Delaware,211700,82200,105700,236900,126300,155500,918300,2015
District of Columbia,120100,66300,134800,171400,70600,71600,634800,2015
Florida,4263600,1710900,2213200,5121000,2628500,3875200,19812500,2015
Georgia,2604800,914700,1184900,2741400,1201400,1262700,9909700,2015
Hawaii,317600,120800,170400,342900,178900,232100,1362600,2015
Idaho,446200,147900,186300,397600,202000,237100,1617200,2015
Illinois,3048200,1175400,1549800,3387900,1622000,1766500,12549700,2015
Indiana,1623900,607400,730400,1679100,844700,929600,6415100,2015
Iowa,743400,278600,348900,760100,410700,478000,3019800,2015
Kansas,742200,261900,334300,706000,365600,406800,2816600,2015
Kentucky,1037500,385700,481200,1142800,584300,651700,4283400,2015
Louisiana,1156400,434100,572700,1146300,588200,632500,4530300,2015
Maine,259000,103000,129600,347800,207900,245300,1292600,2015
Maryland,1383200,530000,709200,1618000,777100,820800,5838300,2015
Massachusetts,1432100,595200,818300,1802900,903700,1003400,6555600,2015
Michigan,2274300,919100,1074100,2526500,1362100,1537600,9693800,2015
Minnesota,1321800,458100,671100,1421000,722700,770900,5365600,2015
Mississippi,760300,272600,315100,742700,370000,428600,2889300,2015
Missouri,1428600,547100,685100,1514600,801300,914200,5890900,2015
Montana,230300,92600,114600,244200,150300,174000,1005900,2015
Nebraska,485600,172100,218400,457900,236400,267900,1838400,2015
Nevada,689200,254900,359100,769200,351000,419300,2842700,2015
New Hampshire,274600,106600,135100,359400,201600,210300,1287600,2015
New Jersey,2075400,753700,1003000,2470200,1171400,1302500,8776300,2015
New Mexico,519400,189400,236500,494500,269500,325900,2035300,2015
New York,4327100,1822200,2503400,5223900,2518700,2873900,19269200,2015
North Carolina,2378000,871200,1119400,2634300,1258100,1472700,9733700,2015
North Dakota,178800,78300,99100,174300,93900,102100,726400,2015
Ohio,2710600,995900,1295600,2946300,1573500,1771500,11293300,2015
Oklahoma,995700,343000,466300,942300,478700,557700,3783700,2015
Oregon,883000,350800,488300,1032500,542700,651400,3948700,2015
Pennsylvania,2776500,1065700,1427900,3236200,1776400,2103800,12386400,2015
Rhode Island,218700,97300,122000,271300,143900,161200,1014400,2015
South Carolina,1115400,444800,530600,1228900,637500,776800,4734000,2015
South Dakota,216900,73500,98500,199400,112500,128100,829000,2015
Tennessee,1547200,581200,746800,1711000,850600,986000,6422800,2015
Texas,7486900,2601500,3445000,7092600,3017900,3133700,26777500,2015
Utah,946200,324800,385800,703900,280700,303800,2945200,2015
Vermont,120800,49800,67900,160100,97700,106100,602400,2015
Virginia,1937100,720800,9.76E+05,2209100,1048700,1159900,8051200,2015
Washington,1660800,634300,912500,1857300,925400,1012400,7002800,2015
West Virginia,387400,154300,185400,469500,267500,327300,1791500,2015
Wisconsin,1328900,496800,642500,1486500,793800,872500,5620900,2015
Wyoming,145700,52200,70100,139000,80800,81000,568900,2015
Puerto Rico,788400,343900,365900,897000,428800,619100,3443200,2015
