Location,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,Total,Year
United States,76119000,28348600,39097500,82323500,41648400,49485600,317022500,2017
Alabama,1138300,430500,536200,1207200,645600,783600,4741400,2017
Alaska,192300,63500,97900,183600,92400,80500,710100,2017
Arizona,1686200,637200,815200,1677000,839900,1185700,6841300,2017
Arkansas,730600,265200,329800,726600,377100,480600,2910000,2017
California,9363800,3697900,5240600,10277900,4720500,5413200,38713900,2017
Colorado,1299900,492600,757900,1451700,697400,761700,5461100,2017
Connecticut,771100,297600,394900,927200,509500,578400,3478700,2017
Delaware,208200,78500,110500,231500,132900,170100,931700,2017
District of Columbia,125500,64200,141500,176600,68200,81600,657600,2017
Florida,4362200,1698300,2330300,5217900,2777200,4146300,20532300,2017
Georgia,2612200,908000,1216400,2754900,1257200,1372700,10121400,2017
Hawaii,312600,100400,169700,341900,182000,249600,1356100,2017
Idaho,459700,150200,190100,410500,212000,259700,1682100,2017
Illinois,3007500,1114500,1554000,3288200,1654300,1878200,12496600,2017
Indiana,1613200,593900,753400,1651400,859000,988500,6459400,2017
Iowa,754600,273500,348700,753800,415400,499600,3045600,2017
Kansas,733800,263400,330000,687500,371900,430900,2817600,2017
Kentucky,1042300,377400,492700,1119700,590100,684800,4307100,2017
Louisiana,1156100,424700,551400,1139300,594900,675100,4541500,2017
Maine,261400,92500,143000,335100,209400,258800,1300200,2017
Maryland,1387600,500100,723100,1598700,807300,876000,5892900,2017
Massachusetts,1429000,568000,863800,1765200,922400,1072200,6620600,2017
Michigan,2231400,896700,1111900,2462600,1393300,1624500,9720300,2017
Minnesota,1326200,463800,677000,1407900,744000,827600,5446600,2017
Mississippi,746700,273400,303900,731900,377300,451200,2884500,2017
Missouri,1424200,510800,720200,1479400,813300,973400,5921300,2017
Montana,230300,95000,115500,246100,151200,184600,1022600,2017
Nebraska,482900,167300,229600,453800,243500,282100,1859200,2017
Nevada,703900,257000,374200,788600,367700,455300,2946600,2017
New Hampshire,264100,104700,147400,345600,208300,226900,1297000,2017
New Jersey,2059500,734100,1026100,2420300,1207500,1376400,8823900,2017
New Mexico,508700,191500,236800,481700,275600,343900,2038200,2017
New York,4260400,1761000,2551200,5096700,2573500,3072900,19315700,2017
North Carolina,2394200,847500,1158700,2658600,1301900,1587700,9948800,2017
North Dakota,177000,75100,98500,171900,97600,105700,726000,2017
Ohio,2677900,987700,1331700,2860600,1600400,1865100,11323500,2017
Oklahoma,995000,342600,463900,934700,486500,581000,3803700,2017
Oregon,903000,343700,524300,1051600,544500,696000,4063000,2017
Pennsylvania,2746700,1028600,1466600,3152500,1796600,2198200,12389100,2017
Rhode Island,214900,94600,126200,263400,146900,169900,1015900,2017
South Carolina,1134400,418700,554800,1246100,661400,849200,4864600,2017
South Dakota,214000,72000,104100,196700,114400,135800,837000,2017
Tennessee,1561400,560900,791900,1706900,874700,1042400,6538200,2017
Texas,7659600,2612700,3587100,7243100,3155200,3363600,27621300,2017
Utah,960500,325400,398900,736000,296800,329800,3047400,2017
Vermont,119800,52500,65500,151900,96300,114300,600200,2017
Virginia,1925700,717900,9.83E+05,2188700,1079500,1245700,8140700,2017
Washington,1701700,628700,965900,1899400,949100,1095000,7239800,2017
West Virginia,385000,148600,178300,448700,260600,340900,1762100,2017
Wisconsin,1319600,495600,643300,1441400,812500,930500,5643000,2017
Wyoming,142400,48500,69400,133100,81500,88300,563300,2017
Puerto Rico,701800,327600,344300,849600,428200,653200,3304800,2017
