Location,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,Total,Year
United States,76770400,27241500,34823900,85799700,33433900,37200300,295269800,2008
Alabama,1168700,429900,509400,1274800,531800,612400,4526900,2008
Alaska,184700,74100,79700,189300,78700,48100,654700,2008
Arizona,1776500,572900,801300,1691800,669500,850900,6363000,2008
Arkansas,727200,250300,314800,763200,324000,390200,2769700,2008
California,9749000,3619900,4515600,10346900,3643000,4007600,35882000,2008
Colorado,1249600,449500,636000,1442600,542100,496800,4816700,2008
Connecticut,842100,278400,346300,1060800,403800,452500,3383800,2008
Delaware,216800,76300,91700,242800,102100,114600,844200,2008
District of Columbia,117000,62300,90200,159200,64300,66000,558900,2008
Florida,4172400,1527100,1927000,5022200,2121600,3104000,17874300,2008
Georgia,2634700,853400,1158000,2789300,994100,946900,9376400,2008
Hawaii,296200,117400,134000,347800,147400,186300,1229000,2008
Idaho,428400,142700,180100,396700,166500,170000,1484300,2008
Illinois,3313600,1190900,1538400,3655400,1355500,1502200,12556000,2008
Indiana,1631500,532800,739300,1797900,701700,769700,6172900,2008
Iowa,727200,279600,311300,824500,340300,411000,2894000,2008
Kansas,715000,262700,316700,757100,303100,346900,2701400,2008
Kentucky,1038900,348600,492200,1229700,498900,535200,4143600,2008
Louisiana,1151300,432300,489200,1194900,494600,511400,4273800,2008
Maine,283600,95500,126800,403500,172600,192200,1274100,2008
Maryland,1391500,497500,618300,1668900,634000,659700,5470000,2008
Massachusetts,1491100,566900,726200,1933600,741200,806000,6265100,2008
Michigan,2505200,882400,1078700,2888600,1161400,1248100,9764400,2008
Minnesota,1297300,473900,598900,1528500,580700,605200,5084500,2008
Mississippi,793800,267900,315900,784100,317800,347400,2826800,2008
Missouri,1459600,530500,667800,1643600,667500,759200,5728200,2008
Montana,240200,89300,99800,261500,119200,128400,938500,2008
Nebraska,468000,158800,203800,479100,190600,220700,1721000,2008
Nevada,691300,216400,328100,737000,290000,293900,2556800,2008
New Hampshire,302500,102300,134800,413300,164600,157900,1275300,2008
New Jersey,2137300,722400,938200,2639000,961700,1096000,8494600,2008
New Mexico,523300,187700,225100,521300,221800,254800,1934000,2008
New York,4600800,1805700,2199300,5657400,2195800,2485000,18944000,2008
North Carolina,2318000,757500,1052800,2622200,1042700,1093000,8886300,2008
North Dakota,143400,73300,70100,161700,78000,83800,610300,2008
Ohio,2834800,972400,1271300,3255800,1327800,1495300,11157500,2008
Oklahoma,938700,334100,419400,947700,403900,464900,3508800,2008
Oregon,902900,333100,460300,1057200,468700,489800,3711900,2008
Pennsylvania,2854800,1027600,1262900,3586200,1480700,1790500,12002700,2008
Rhode Island,233300,98500,108400,309400,119800,140000,1009400,2008
South Carolina,1105000,385400,480700,1232800,540500,574000,4318400,2008
South Dakota,208800,65500,81600,217200,88600,108200,769900,2008
Tennessee,1516800,518200,721300,1775000,733100,781000,6045200,2008
Texas,6989400,2290300,3017100,6634500,2342700,2369000,23643000,2008
Utah,884200,329200,378800,631800,223200,239500,2686800,2008
Vermont,132700,50100,60900,191000,81000,83400,599100,2008
Virginia,1890200,658300,8.48E+05,2241100,875500,905500,7418400,2008
Washington,1607700,551100,782300,1896300,772500,760600,6370500,2008
West Virginia,391400,148600,196900,514100,243700,270500,1765200,2008
Wisconsin,1356900,501700,618700,1632800,646500,710800,5467500,2008
Wyoming,134900,48500,59600,146700,62900,63400,516100,2008
Puerto Rico,1030200,392200,477800,1026300,444100,531400,3902000,2008
